id,_name,_prefix,_province_id,sync_words
566,Ngã Năm,Huyện,48,"nga nam,huyen nga nam"
567,Sóc Trăng,Thành phố,48,"soc trang,thanh pho soc trang"
568,Thạnh Trị,Huyện,48,"thanh tri,huyen thanh tri"
569,Trần Đề,Huyện,48,"tran de,huyen tran de"
570,Vĩnh Châu,Huyện,48,"vinh chau,huyen vinh chau"
571,Đăk Glei,Huyện,49,"dak glei,huyen dak glei"
572,Đăk Hà,Huyện,49,"dak ha,huyen dak ha"
573,Đăk Tô,Huyện,49,"dak to,huyen dak to"
574,Ia H'Drai,Huyện,49,"ia h'drai,huyen ia h'drai"
575,Kon Plông,Huyện,49,"kon plong,huyen kon plong"
576,Kon Rẫy,Huyện,49,"kon ray,huyen kon ray"
577,KonTum,Thành phố,49,"kontum,thanh pho kontum"
578,Ngọc Hồi,Huyện,49,"ngoc hoi,huyen ngoc hoi"
579,Sa Thầy,Huyện,49,"sa thay,huyen sa thay"
580,Tu Mơ Rông,Huyện,49,"tu mo rong,huyen tu mo rong"
581,Ba Đồn,Thị xã,50,"ba don,thi xa ba don"
582,Bố Trạch,Huyện,50,"bo trach,huyen bo trach"
583,Đồng Hới,Thành phố,50,"dong hoi,thanh pho dong hoi"
584,Lệ Thủy,Huyện,50,"le thuy,huyen le thuy"
585,Minh Hóa,Huyện,50,"minh hoa,huyen minh hoa"
586,Quảng Ninh,Huyện,50,"quang ninh,huyen quang ninh"
587,Quảng Trạch,Huyện,50,"quang trach,huyen quang trach"
588,Tuyên Hóa,Huyện,50,"tuyen hoa,huyen tuyen hoa"
589,Cam Lộ,Huyện,51,"cam lo,huyen cam lo"
590,Đa Krông,Huyện,51,"da krong,huyen da krong"
591,Đảo Cồn cỏ,Huyện,51,"dao con co,huyen dao con co"
592,Đông Hà,Thành phố,51,"dong ha,thanh pho dong ha"
593,Gio Linh,Huyện,51,"gio linh,huyen gio linh"
594,Hải Lăng,Huyện,51,"hai lang,huyen hai lang"
595,Hướng Hóa,Huyện,51,"huong hoa,huyen huong hoa"
596,Quảng Trị,Thị xã,51,"quang tri,thi xa quang tri"
597,Triệu Phong,Huyện,51,"trieu phong,huyen trieu phong"
598,Vĩnh Linh,Huyện,51,"vinh linh,huyen vinh linh"
599,Càng Long,Huyện,52,"cang long,huyen cang long"
600,Cầu Kè,Huyện,52,"cau ke,huyen cau ke"
601,Cầu Ngang,Huyện,52,"cau ngang,huyen cau ngang"
602,Châu Thành,Huyện,52,"chau thanh,huyen chau thanh"
603,Duyên Hải,Huyện,52,"duyen hai,huyen duyen hai"
604,Tiểu Cần,Huyện,52,"tieu can,huyen tieu can"
605,Trà Cú,Huyện,52,"tra cu,huyen tra cu"
606,Trà Vinh,Thành phố,52,"tra vinh,thanh pho tra vinh"
607,Châu Thành,Huyện,53,"chau thanh,huyen chau thanh"
608,Châu Thành A,Huyện,53,"chau thanh a,huyen chau thanh a"
609,Long Mỹ,Huyện,53,"long my,huyen long my"
610,Ngã Bảy,Thị xã,53,"nga bay,thi xa nga bay"
611,Phụng Hiệp,Huyện,53,"phung hiep,huyen phung hiep"
612,Vị Thanh,Thành phố,53,"vi thanh,thanh pho vi thanh"
613,Vị Thủy,Huyện,53,"vi thuy,huyen vi thuy"
614,Bắc Yên,Huyện,54,"bac yen,huyen bac yen"
615,Mai Sơn,Huyện,54,"mai son,huyen mai son"
616,Mộc Châu,Huyện,54,"moc chau,huyen moc chau"
617,Mường La,Huyện,54,"muong la,huyen muong la"
618,Phù Yên,Huyện,54,"phu yen,huyen phu yen"
619,Quỳnh Nhai,Huyện,54,"quynh nhai,huyen quynh nhai"
620,Sơn La,Thành phố,54,"son la,thanh pho son la"
621,Sông Mã,Huyện,54,"song ma,huyen song ma"
622,Sốp Cộp,Huyện,54,"sop cop,huyen sop cop"
