"id","_name","_prefix","_province_id","_district_id","sync_words","priority_sync_words"
341,Nguyễn Thị Tiếp,Đường,1,1,nguyen thi tiep,duong nguyen thi tiep
342,Nguyễn Thị Tú,Đường,1,1,nguyen thi tu,duong nguyen thi tu
343,Nguyễn Thị Xưa,Đường,1,1,nguyen thi xua,duong nguyen thi xua
344,Nguyễn Tri Phương,Đường,1,1,nguyen tri phuong,duong nguyen tri phuong
345,Nguyễn Trung Trực,Đường,1,1,nguyen trung truc,duong nguyen trung truc
346,Nguyễn Văn Bứa,Đường,1,1,nguyen van bua,duong nguyen van bua
347,Nguyễn Văn Cừ,Đường,1,1,nguyen van cu,duong nguyen van cu
348,Nguyễn Văn Linh,Đường,1,1,nguyen van linh,duong nguyen van linh
349,Nguyễn Văn Long,Đường,1,1,nguyen van long,duong nguyen van long
350,Nguyễn Văn Thê,Đường,1,1,nguyen van the,duong nguyen van the
351,Nguyễn Văn Thời,Đường,1,1,nguyen van thoi,duong nguyen van thoi
352,Nguyễn Văn Thu,Đường,1,1,nguyen van thu,duong nguyen van thu
353,Nguyễn Văn Thuê,Đường,1,1,nguyen van thue,duong nguyen van thue
354,Nguyễn Văn Trân,Đường,1,1,nguyen van tran,duong nguyen van tran
355,Nguyễn Văn Trí,Đường,1,1,nguyen van tri,duong nguyen van tri
356,Nhà Đồ,Đường,1,1,nha do,duong nha do
357,Nữ Dân Công,Đường,1,1,nu dan cong,duong nu dan cong
358,Phạm Hùng,Đường,1,1,pham hung,duong pham hung
359,Phạm Tấn Mười,Đường,1,1,pham tan muoi,duong pham tan muoi
360,Phạm Văn Hai,Đường,1,1,pham van hai,duong pham van hai
361,Phạm Văn Sáng,Đường,1,1,pham van sang,duong pham van sang
362,Phạm Văn Thuận,Đường,1,1,pham van thuan,duong pham van thuan
363,Phan Thị Tư,Đường,1,1,phan thi tu,duong phan thi tu
364,Phan Văn Đối,Đường,1,1,phan van doi,duong phan van doi
365,Phan Văn Mảng,Đường,1,1,phan van mang,duong phan van mang
366,Phong Phú,Đường,1,1,phong phu,duong phong phu
367,Phước Lý,Đường,1,1,phuoc ly,duong phuoc ly
368,Quách Điêu,Đường,1,1,quach dieu,duong quach dieu
369,Quách Điêu 12,Đường,1,1,quach dieu 12,duong quach dieu 12
370,Quản Trọng Linh,Đường,1,1,quan trong linh,duong quan trong linh
371,Quốc Lộ 1,Đường,1,1,quoc lo 1,duong quoc lo 1
372,Quốc lộ 1A,Đường,1,1,quoc lo 1a,duong quoc lo 1a
373,Quốc Lộ 2,Đường,1,1,quoc lo 2,duong quoc lo 2
374,Quốc Lộ 50,Đường,1,1,quoc lo 50,duong quoc lo 50
375,Quốc Lộ 51,Đường,1,1,quoc lo 51,duong quoc lo 51
376,Quốc lộ 80,Đường,1,1,quoc lo 80,duong quoc lo 80
377,Quốc lộ 8A,Đường,1,1,quoc lo 8a,duong quoc lo 8a
378,Quy Đức,Đường,1,1,quy duc,duong quy duc
379,Quỳnh Anh,Đường,1,1,quynh anh,duong quynh anh
380,Rạch Bà Lớn,Đường,1,1,rach ba lon,duong rach ba lon
381,Rạch Bàu Gốc,Đường,1,1,rach bau goc,duong rach bau goc
382,Rạch Cầu Suối,Đường,1,1,rach cau suoi,duong rach cau suoi
383,Rạch Ông Đồ,Đường,1,1,rach ong do,duong rach ong do
384,Số 1,Đường,1,1,so 1,duong so 1
385,Số 10,Đường,1,1,so 10,duong so 10
386,Số 10A,Đường,1,1,so 10a,duong so 10a
